Unit_Code,Spring_ID,MOJN_SpringCode,ComplexName,LocationName,LocationType_Label,LandOwnership_Label,ComplexStatus_Label,X_UTM_NAD83_11N,Y_UTM_NAD83_11N,Lon_WGS84,Lat_WGS84,ElevationDEM_m,BuildingProximity,ElevationBand,EventDate,VisitType_Label,SpringHabitat_Label,DissolvedOxygen_mg_per_l,SpringbrookLength_m,Temperature_C,SpConductivity_microSiemens_per_cm,pH,DischargeFlag_Code,Discharge_liters_per_minute,WaterDepth_cm,WaterWidth_m,Notes,FieldnoteNumber,LocateStatus_Label,DischargeClass_Description,Event_ID,Diversion,Dredging,Drying,Fire,Flooding,Livestock,Other,Overall,Recreation,Residence
DEVA,COT0944,DEVA_P_COT0944,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 28,Spring,Park,Not representative,502202,4042001,-116.9754044,36.52337306,-80,> 75m,1,,First Visit,Limnocrene,,,,,0,,,25,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) found.  Area measured as 736 ha.",DS97-027,Located,<= 1 L/sec,11,,,,,,,,,,
DEVA,COT0945,DEVA_P_COT0945,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 29,Spring,Park,Not representative,502248,4042006,-116.9748906,36.52341803,-80,> 75m,1,,First Visit,Limnocrene,,,,,0,,,35,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) found.  Area measured as 567 ha.",DS97-028,Located,<= 1 L/sec,12,,,,,,,,,,
DEVA,COT0271,DEVA_P_COT0271,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 3,Spring,Park,Not representative,502308,4043006,-116.9742174,36.53243303,-80,> 75m,1,,First Visit,Limnocrene,,4,,,,,,,0.5,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) found.",DS97-003,Located,<= 1 L/sec,13,,,,,,,,,,
DEVA,COT0946,DEVA_P_COT0946,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 30,Spring,Park,Not representative,502219,4041979,-116.9752146,36.52317469,-80,> 75m,1,,First Visit,Limnocrene,,,,,0,,,50,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) found.  Area measured as 550 ha.",DS97-029,Located,<= 1 L/sec,14,,,,,,,,,,
DEVA,ACR0006,DEVA_P_ACR0006,Little Spring DEVA,Across from Little Spring,Not a spring,Park,Not representative,498125,3974783,-117.0207771,35.91736415,1021,> 75m,2,12/5/2004,First Visit,Dry,,,,,,,,,,"Large bacharris and juncus bunch immediately across drainage from little spring.  No water found.  GPS file can be found in Little spring folder.

5/03/05 (PS) Checking later on the wilderness map showed this road to be in fact closed although there were no markers, so access to this and other springs in this area in the future will have to be walked to from just east of Anvil Willow unless the road gets re-opened.",PS04-131,Located,<= 1 L/sec,15,,,Highly disturbed,,,,,Highly disturbed,,
DEVA,ALK0458,DEVA_P_ALK0458,[Individual Spring],Alkali Spring,Spring,Park,Standalone,493529,4086003,-117.0726553,36.92002591,2061,> 75m,3,3/15/2005,First Visit,Rheocrene,6.81,11,13.3,192.5,8.2,,2,1,0.15,Large game trails lead from the springs. Spring emerges from side of canyon and ends at the foot of a single large willow. Area appears to have been scoured recently.,CJ05-105,Located,1.1 L/sec to 10 L/sec,16,,,Moderate disturbance,,Moderate disturbance,Slight disturbance,,Moderate disturbance,,
DEVA,AMA0381,DEVA_P_AMA0381,[Individual Spring],Amargosa River,Not a spring,Park,Standalone,543745,3953713,-116.5162942,35.72641973,29,> 75m,1,12/14/2004,First Visit,Other,9.73,5000,8.6,18200,8.4,,50,15,7,"Spring brook length is several miles recorded in database as 5000m.

flora:  salt hay, disticlus, pickleweed, scirpus, phrag

fauna:  riffle beetles",CJ04-169,Located,>= 10 L/sec,17,,,,,Highly disturbed,,,Highly disturbed,,
DEVA,AMO0779,DEVA_P_AMO0779,Sister,Amos Spring,Spring,Park,Not representative,457783,4045049,-117.4717036,36.54992463,2057,> 75m,3,11/9/2005,First Visit,Rheocrene,4.55,367,6.5,158.9,8.1,,0.5,1,0.18,"This spring lies east of Newfound spring in a water course/ wash that makes it way down from Hunter Mt toward Sister Springs.  The springbrook goes underground for a short ways and re-emerges.  

Other veg:  chives, algae, penstemmon, sagebrush",CJ05-179,Located,<= 1 L/sec,18,,,,,Slight disturbance,Slight disturbance,,Slight disturbance,,
DEVA,ANN0609,DEVA_P_ANN0609,Nevares,Annie Oakley Spring,Spring,Park,Not representative,515380,4040372,-116.828247,36.50856177,231,> 75m,2,1/31/2005,First Visit,Rheocrene,5.34,100,30,1151,7.8,,10,6,0.8,"No notes.



5/8/05 (PS)  I was not present for the surveying of this spring.",PS05-118,Located,1.1 L/sec to 10 L/sec,19,,,Slight disturbance,,,,,Slight disturbance,,
DEVA,ANT0757,DEVA_P_ANT0757,Wildrose Station,Antimony Spring,Not a spring,Park,Not representative,481246,4013302,-117.2087767,36.26446619,1146,> 75m,2,10/13/2005,First Visit,Dry,,,,,,,,,,This spring is located in Wildrose Canyon at junction with Nemo Canyon.  Spring was not found nor was any water or riparian vegetation.,CJ05-145,Located,<= 1 L/sec,20,,,Highly disturbed,,,,,Highly disturbed,,
DEVA,ANV0229,DEVA_P_ANV0229,[Individual Spring],Anvil Mesquite Spring,Spring,Park,Standalone,508116,3977560,-116.9100105,35.94236389,502,> 75m,2,1/17/2005,First Visit,Seep,11.48,14,16.1,7470,8.2,LT,1,1,0.45,Trampled seepy rock behind mesquite patch.  Burro prints and scat prevalent.  Some brown grass near source algal matting throughout.  Interestingly the water @ the source is about three times saltier and conductive than lower down (1.3ppt and 2250uS).  I think there must be some dilution from recent draining of rain water.  Saw over a hundred quail in one covey nearby.  Found cranefly larvae with ostracods inside.  Definitely some more fresh sources below an upper salty one.  Lower ones have bugs and watercress.  Several large mesquite bunches present.  Source is behind patch on north side of canyon.,PS05-035,Located,<= 1 L/sec,21,,,Moderate disturbance,,,Highly disturbed,,Highly disturbed,,
DEVA,ANV1055,DEVA_P_ANV1055,Anvil Spring,Anvil Spring,Spring,Park,Representative,492352,3975426,-117.0847764,35.92312725,1295,> 75m,2,12/3/2004,First Visit,Unknown,6.37,50,17.7,461,8,,5,1,4.5,"4 L/min from pipe + 1 for hillside seepage.  Small cabin on hill above pipe sticking out of source.  One mostly dead cottonwood.  Heavily grazed and hillocked.

Other veg: rumex sp.",PS04-110,Located,1.1 L/sec to 10 L/sec,22,Highly disturbed,,,,,Highly disturbed,,Highly disturbed,,Highly disturbed
DEVA,ANV0292,DEVA_P_ANV0292,[Individual Spring],Anvil Willow,Spring,Park,Standalone,494647,3974019,-117.0593215,35.91046161,1092,> 75m,2,12/5/2004,First Visit,Rheocrene,6.26,60,6.6,948,8.2,,3,2,0.5,Very large patch of willows all the way down wash only surface water and obligate wet species found near source moderate grazing evident.  Decomposing leaf matter over mostly gravel substrate.  Spring must resurface farther down ~15 L/min stream in willow thicket that runs ~500 meters from source.  Watercress found down lower.  Disturbed huge flock of >20 grey horned owls.  Evidence of piped diversion in past from stream.,PS04-124,Located,1.1 L/sec to 10 L/sec,23,Slight disturbance,,,,,Moderate disturbance,,Moderate disturbance,,
DEVA,APR0734,DEVA_P_APR0734,Trail Canyon Upper,Apron Spring,Spring,Park,Not representative,493581,4017809,-117.0714945,36.30525976,1557,> 75m,3,2/1/2005,First Visit,Rheocrene,9.49,,6.3,1116,7.6,,4,1,0.3,"This spring lies just above a large (20m) cliff just off a side canyon of Trail Canyon.  The water was frozen at the cliff but reappeared ~75m down the canyon at a good trickle.  Water measured down canyon after it reappeared.  

Other vegetation:  cliffrose, Carix aurora",CJ05-034,Located,1.1 L/sec to 10 L/sec,24,,,,,Moderate disturbance,,,Moderate disturbance,,
DEVA,ARR0439,DEVA_P_ARR0439,[Individual Spring],Arrastre Spring,Spring,Inholding,Standalone,497288,3985524,-117.0300926,36.01420326,1729,> 75m,3,2/14/2005,First Visit,Rheocrene,,1,,,,,1,,,"This spring sits high on a hillside overlooking warm spring canyon and DEVA. There is an old 4x4 trail that will take you within a half mile of the spring, then it's a steep climb up to the spring. The source is a large willow thicket that doesn't have the surface water to sample.",CJ05-075,Located,<= 1 L/sec,25,,,Highly disturbed,,,,Highly disturbed,Highly disturbed,Highly disturbed,
DEVA,ARR0137,DEVA_P_ARR0137,[Individual Spring],Arrow Spring,Spring,Park,Standalone,471752,4040235,-117.3154525,36.50703915,1100,> 75m,2,3/7/2005,First Visit,Unknown,,0,,,,LT,1,0,,"I believe the coordinates are off.  First, the spring symbol on the map for this area shows this spring one drainage west, where there is nothing.  Second, the coordinates place it almost exactly 1 km west plus the two hundred to account for the NAD83 to 27 shift.  I walked up to within a couple hundred meters of where it was supposed to have been given the old coordinates and found nothing.  Small pipe at source extends from base of phrag patch into a small metal basin.  ~one drop every ten seconds is dripping from the pipe opening.  No pooling, just seeps right into ground.  Couldn't get any WQ.  Small hole ~6 m uphill of pipe provides access to bottom of phrag patch for rabbits and chukar.  Several metal drums strewn down wash. Foxtail and crane's bill present.",PS05-196,Located,<= 1 L/sec,26,Highly disturbed,Highly disturbed,Highly disturbed,,,,,Highly disturbed,,
DEVA,ARS0417,DEVA_P_ARS0417,[Individual Spring],Arsenic Spring,Spring,Park,Standalone,503861,4002980,-116.957064,36.17157369,550,> 75m,2,1/25/2005,First Visit,Dry,,,,,,,0,,,"Dry!  Some of the mesquite trees appear to be dead.  It rained the previous night.  Animal dens are plentiful in the mesquite thickets.
Observations and data were completed by MHFlores.
Not enough water to sample.
Other vegetation:  Brittlebrush, annuals",CJ05-030,Located,<= 1 L/sec,27,,,Highly disturbed,,,,,Highly disturbed,,
DEVA,ART0108,DEVA_P_ART0108,[Individual Spring],Artesian Well 4066600,Not a spring,Park,Standalone,426381,4066797,-117.8246439,36.74405528,330,> 75m,2,2/8/2005,First Visit,Well,0.22,30,21.3,675,8.4,GT,5,8,0.4,"Large Cottonwood near source.  Follow right fork ~100 meters past Gervais Well ~2 miles until it dead ends at fence/ cattle guard.  Heavily impacted by burros.  Spring bubbles out of ground near base of well head and 1 cm diameter hole in wellhead shoots 14"" and drops 10"" in case you want to calculate water coming out of wellhead.",PS05-161,Located,1.1 L/sec to 10 L/sec,28,,Highly disturbed,,,,Highly disturbed,,Highly disturbed,Highly disturbed,
DEVA,ASH0365,DEVA_P_ASH0365,[Individual Spring],Ashford Well,Not a spring,Park,Standalone,530986,3972770,-116.6566381,35.89872711,6,> 75m,1,12/10/2004,First Visit,Well,,,,,,,,,,This well lies directly by the turnoff to Shoshone on Badwater.  Old vehicle parking lot blocked off by rocks.,CJ04-133,Located,<= 1 L/sec,29,Highly disturbed,,Highly disturbed,,,,,Highly disturbed,Highly disturbed,
DEVA,BAC0992,DEVA_P_BAC0992,[Individual Spring],Baccharis Bunch (Daylight Pass),Not a spring,Park,Standalone,505093,4072032,-116.9429135,36.79408981,1376,> 75m,2,11/5/2004,First Visit,Dry,,,,,,,,,,"Large patch of Baccharis up a wash on the way out of Bullfrog, Daylight Willow.  Not shown or named previously.  No water or other fac. Wet veg other than a 10m x 10m baccharis bunch. Digitized from point in field.",PS04-032,Located,<= 1 L/sec,30,,,Highly disturbed,,,,,Highly disturbed,,
DEVA,BAD0492,DEVA_P_BAD0492,Deadhorse Canyon Upper,Badman Spring,Spring,Park,Not representative,461501,4047068,-117.4302685,36.56827891,1628,> 75m,3,5/22/2005,First Visit,Rheocrene,3.93,25,13.6,358.6,7.8,,3,2,0.1,"This spring lies high up in Dead Horse Canyon on the southern slope. There is a very large willow patch, short riparian area, another large willow patch, then our sampling point. Actuall source is under an overhang in very thick willows. Top willow patch was dry. Goldbush present.",CJ05-134,Located,1.1 L/sec to 10 L/sec,31,,,,,Moderate disturbance,Slight disturbance,,Moderate disturbance,,
DEVA,BAD0226,DEVA_P_BAD0226,[Individual Spring],Badwater Potholes,Not a spring,Park,Standalone,520516,4012832,-116.7716158,36.26019112,2,> 75m,1,1/15/2005,First Visit,Dry,,,,,,,,,,"The potholes have been filled in with debris, rock, gravel, cobble and no water was found.  No veg is present. DRY!  This is probably as wet as it will ever be in the park so I wouldn’t ever expect to find water here.",PS05-032,Not Located,<= 1 L/sec,32,,,Highly disturbed,,,,,Highly disturbed,,
DEVA,BAD0612,DEVA_P_BAD0612,Badwater Spring,Badwater Spring 1,Spring,Park,Not representative,520972,4009657,-116.7666247,36.23155224,-82,> 75m,1,2/1/2005,First Visit,Limnocrene,16.08,30,19.7,37570,8.6,LT,1,5,6,Fairly dense macrophyte growth in water.  Springsnails under salt crust.  Very productive.  Many beetles and brineflies.  This in the northernmost pool.,PS05-132,Located,<= 1 L/sec,33,,,,,,,,Slight disturbance,Slight disturbance,
DEVA,BAD0625,DEVA_P_BAD0625,Badwater Spring,Badwater Spring 2,Spring,Park,Not representative,520950,4009571,-116.7668707,36.23077883,-83,> 75m,1,2/1/2005,First Visit,Seep,3.75,4,16.4,46100,7.7,LT,1,1,0.65,Small seep with salt crust edges.  Springsnails present.  Macrophytes thick here too.,PS05-133,Located,<= 1 L/sec,34,,,,,,,,Slight disturbance,Slight disturbance,
DEVA,BAD0613,DEVA_P_BAD0613,Badwater Spring,Badwater Spring 3,Spring,Park,Not representative,520933,4009555,-116.7670617,36.23063983,-83,> 75m,1,2/1/2005,First Visit,Rheocrene,4.01,5,17.4,35620,7.9,LT,1,1,0.1,Small seep starts and runs a few meters until its width disappears.  Salt crust abounds.,PS05-134,Located,<= 1 L/sec,35,,,,,,,,Slight disturbance,Slight disturbance,
DEVA,BAD0614,DEVA_P_BAD0614,Badwater Spring,Badwater Spring 4,Spring,Park,Not representative,520930,4009549,-116.7670929,36.23058214,-83,> 75m,1,2/1/2005,First Visit,Rheocrene,3.15,4,19,35350,8.1,LT,1,1,0.12,Small seep flows several meters.  Salt crust around.  Sketch of area on data sheet.,PS05-135,Located,<= 1 L/sec,36,,,,,,,,Slight disturbance,Slight disturbance,
DEVA,BAD0615,DEVA_P_BAD0615,Badwater Spring,Badwater Spring 5 (Main),Spring,Park,Representative,520926,4009535,-116.7671362,36.23046031,-83,> 75m,1,2/1/2005,First Visit,Limnocrene,,70,18.1,36400,8.2,,1,3,12,Some macrophytes.  This is the large pool to the north of the boardwalk.  Pickleweed on east bank.  Probably combines water from previous 4.  Forgot to write down DO.,PS05-136,Located,<= 1 L/sec,37,,,,,,,,Moderate disturbance,Moderate disturbance,
DEVA,BAN0608,DEVA_P_BAN0608,Nevares,Bangbang Spring,Spring,Park,Not representative,515286,4040390,-116.8292962,36.50873357,223,> 75m,2,1/31/2005,First Visit,Rheocrene,5.99,45,19.7,692,8.2,,3,2,1,"Located near NPS shooting range.
other veg:  honeysweet


5/8/05 (PS)  I was not present for the surveying of this spring.",PS05-117,Located,1.1 L/sec to 10 L/sec,38,,,Slight disturbance,,,,,Slight disturbance,,
DEVA,BEB0921,DEVA_P_BEB0921,[Individual Spring],Bebbia Potholes,Spring,Park,Standalone,499264,4062318,-117.008245,36.70652956,549,> 75m,2,11/12/2004,First Visit,Other,10.58,0,20.6,319,9.3,,0,16,0.27,"7 potholes (#would vary depending on rainfall)  are found in this drainage--GPS point taken at midpoint (see map on back), water quality sampled at furthest north (upstream) point.  Very large ostracods present (4-5mm).  Other potholes visible in drainage SE, need to be returned to.  
Sketch of area on back.",PS04-040,Located,<= 1 L/sec,39,,,,,Highly disturbed,,,Highly disturbed,,
DEVA,BEC0851,DEVA_P_BEC0851,Marble Canyon South Fork,Bechtold Spring,Spring,Park,Not representative,461913,4049096,-117.425768,36.58658141,1365,> 75m,2,11/30/2005,First Visit,Rheocrene,3.12,190,12.4,529,7.8,,15,10,0.45,"This spring lies in the South Fork of Marble Canyon.  It is distinguished by a dense willow patch, though there are willows both up and down stream from the spring brush.  The source emerges from a large rock face on the nothern side at the canyon and creates a gushing water fall.",CJ05-236,Located,>= 10 L/sec,40,,,Slight disturbance,,Moderate disturbance,,,Moderate disturbance,,
DEVA,BED0384,DEVA_P_BED0384,Monarch Spring,Bed Spring A,Spring,Park,Not representative,507374,4064765,-116.9174196,36.72856369,995,> 75m,2,11/10/2004,First Visit,Dry,,,,,,,,,,"Dry, lies just below where source was but had obligate wetland species.",CJ04-172,Located,<= 1 L/sec,41,,,Highly disturbed,,,,,Highly disturbed,,
DEVA,BED0200,DEVA_P_BED0200,Monarch Spring,Bed Spring B,Spring,Park,Not representative,507378,4064669,-116.9173703,36.72770187,974,> 75m,2,11/10/2004,First Visit,Rheocrene,7.21,15,17.4,1220,8,GT,5,1.5,0.1,"Large seep just after falls in Monarch Canyon, gravelly wash, spring found above phragmites.  Strong flow after 2 days rain.  Old road down falls, mining past (possible diversion?)
Water depth recorded as 1-2.
Other veg:  rabbitbrush

Sketch of area on back",CJ04-027,Located,1.1 L/sec to 10 L/sec,42,,,,,,,,Undisturbed,,
DEVA,BEE0204,DEVA_P_BEE0204,Mortar Spring,Bee Seep,Spring,Park,Not representative,472208,4093915,-117.3123128,36.99095581,881,> 75m,2,11/12/2004,First Visit,Unknown,,,,,,,,,,"Small Seep coming out of the side of the wash. The water seems to seep out in 3 main areas (Mesquite, Phragmytes, arroweed).",CJ04-032,Located,<= 1 L/sec,43,,,,,,,Undisturbed,Undisturbed,,
DEVA,BEN0016,DEVA_P_BEN0016,[Individual Spring],Bennett's Well,Not a spring,Park,Standalone,512408,4002400,-116.8620385,36.16627497,-80,> 75m,1,12/7/2004,First Visit,Well,1.22,,26.1,573,8.5,,,2,0.1,Well head with pipe ~2m to water from surface.  10 cm pipe with scrap metal cover.,PS04-141,Located,<= 1 L/sec,44,Highly disturbed,Highly disturbed,,,,,,Highly disturbed,,
DEVA,BEN0606,DEVA_P_BEN0606,[Individual Spring],Benny Spring,Spring,Park,Standalone,503915,4005298,-116.9564518,36.19247614,552,> 75m,2,1/20/2005,First Visit,Dry,7.15,0.3,18.5,2489,3.9,LT,1,3,0.3,Four moist washes with mesquite on colorful gravel sand hillside.  Mine ~300 meters NW.  Far right veg bunch contains two small pools of water.  Very rusty and has an oil slick over seeps.  Extremely acidic.  Probably a tailings.  Seepy red shiny slick.,PS05-089,Located,<= 1 L/sec,45,,,Highly disturbed,,Highly disturbed,,,Highly disturbed,,
DEVA,BIC0360,DEVA_P_BIC0360,[Individual Spring],Bicentennial Spring,Spring,Park,Standalone,522240,3987145,-116.7531447,36.02856748,-72,> 75m,1,12/2/2004,First Visit,Limnocrene,3.3,100,14.5,24650,7.4,GT,1,3,5,"Bicentennial spring is just of the road (Badwater Rd.) between coyote wells and Badwater.  Source may be under the road.  Very wide and intermittently goes in and out of the ground, ending at a ~1 acre pond area (intermittently flows in lake also).

Unkn worm present.

Flora:  atriplex

see sketch on back",CJ04-128,Located,<= 1 L/sec,46,,,,,,,Highly disturbed,Highly disturbed,,
DEVA,BIG0444,DEVA_P_BIG0444,[Individual Spring],Big Dodd Spring,Spring,Park,Standalone,448688,4049017,-117.5735914,36.58524201,1190,> 75m,2,3/4/2005,First Visit,Rheocrene,2.34,40,15.9,764,8,,10,3,2,5 long eared owls spotted.,CJ05-091,Located,1.1 L/sec to 10 L/sec,47,,,,,,Slight disturbance,,Slight disturbance,Slight disturbance,
DEVA,BIG0087,DEVA_P_BIG0087,Nevares,Bighorn Seep A,Spring,Park,Not representative,516041,4040568,-116.8208586,36.51032479,275,> 75m,2,1/31/2005,First Visit,Rheocrene,,10,,,,LT,1,1,0.2,"Water not deep enough to sample, two small seeps combine to form seep a.

Flora: mojave thistle, blue-eyed grass, sporabilis, stream orchid, arrow leaf, desert holly, juncus, needle grass, golden rod, salt grass.

5/8/05 (PS)  I was not present for the surveying of this spring.",PS05-120,Located,<= 1 L/sec,48,,,Slight disturbance,,,,,Slight disturbance,,
DEVA,BIG0088,DEVA_P_BIG0088,Nevares,Bighorn Seep B,Spring,Park,Not representative,516058,4040552,-116.8206735,36.51017989,276,> 75m,2,1/31/2005,First Visit,Rheocrene,2.07,60,16.5,1034,7.8,,2,2,0.08,"Both present and absent were circled for springsnails on data sheet, unsure as to which is correct. Probably just - for fush





5/8/05 (PS)  I was not present for the surveying of this spring.",PS05-121,Located,1.1 L/sec to 10 L/sec,49,,,,,,,Undisturbed,Undisturbed,,
DEVA,BIG0089,DEVA_P_BIG0089,Nevares,Bighorn Seep C,Spring,Park,Not representative,516102,4040507,-116.8201807,36.50977391,281,> 75m,2,1/31/2005,First Visit,Helocrene,8.65,70,19.8,1166,7.8,,5,4,0.4,"NO NOTES.




5/8/05 (PS)  I was not present for the surveying of this spring.",PS05-122,Located,1.1 L/sec to 10 L/sec,50,,,,,,,Undisturbed,Undisturbed,,
DEVA,BIG0090,DEVA_P_BIG0090,Nevares,Bighorn Seep D,Spring,Park,Not representative,516120,4040455,-116.8199835,36.50929958,282,> 75m,2,1/31/2005,First Visit,Helocrene,5.64,40,17.9,956,7.9,,2,2,0.4,"Needlegrass, dead mesquite, sporabilis, mojave thistle, juncus, eleocharis.




5/8/05 (PS)  I was not present for the surveying of this spring.",PS05-123,Located,1.1 L/sec to 10 L/sec,51,,,Slight disturbance,,,,,Slight disturbance,,
DEVA,BIG0091,DEVA_P_BIG0091,Nevares,Bighorn Seep E,Spring,Park,Not representative,516108,4040410,-116.8201129,36.50889802,280,> 75m,2,1/31/2005,First Visit,Helocrene,3.63,80,18.6,875,8,,2,2,0.3,"NO NOTES.




5/8/05 (PS)  I was not present for the surveying of this spring.",PS05-124,Located,1.1 L/sec to 10 L/sec,52,,,,,,,Undisturbed,Undisturbed,,
